Date;Météo;Pluie(mm);T°C (12h-15h);Humidité;THI;Météo;Météo_1;Météo_2;Météo_3;Météo_4;Météo_1_Cat;Météo_2_Cat;Météo_3_Cat;Météo_4_Cat;Météo_Cat
2023-07-01;pluie/couvert/vent;3.0;19.0;;;pluie/couvert/vent;pluie;couvert;vent;;PLUIE;COUVERT;VENT;;COUVERT|PLUIE|VENT
2023-07-02;couvert/vent;0.0;22.0;;;couvert/vent;couvert;vent;;;COUVERT;VENT;;;COUVERT|VENT
2023-07-03;éclaircies;0.0;25.0;;;éclaircies;éclaircies;;;;ECLAIRCIES;;;;ECLAIRCIES
2023-07-04;couvert/éclaircies;0.0;27.0;;;couvert/éclaircies;couvert;éclaircies;;;COUVERT;ECLAIRCIES;;;COUVERT|ECLAIRCIES
2023-07-05;lourd/orages;1.0;26.0;;;lourd/orages;lourd;orages;;;CHAUD;ORAGE;;;CHAUD|ORAGE
2023-07-06;éclaircies;0.0;27.0;;;éclaircies;éclaircies;;;;ECLAIRCIES;;;;ECLAIRCIES
2023-07-07;beau/lourd/orageux;0.0;27.0;;;beau/lourd/orageux;beau;lourd;orageux;;BEAU;CHAUD;ORAGE;;BEAU|CHAUD|ORAGE
2023-07-08;beau/orages;6.0;33.0;;;beau/orages;beau;orages;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-07-09;beau;0.0;32.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-10;couvert/lourd;0.0;28.0;;;couvert/lourd;couvert;lourd;;;COUVERT;CHAUD;;;CHAUD|COUVERT
2023-07-11;beau;0.0;31.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-12;beau/orageux;1.0;28.0;;;beau/orageux;beau;orageux;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-07-13;pluie/couvert;1.0;21.0;;;pluie/couvert;pluie;couvert;;;PLUIE;COUVERT;;;COUVERT|PLUIE
2023-07-14;bruine/couvert;0.0;23.0;;;bruine/couvert;bruine;couvert;;;PLUIE;COUVERT;;;COUVERT|PLUIE
2023-07-15;beau;0.0;31.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-16;beau/averses;3.0;30.0;;;beau/averses;beau;averses;;;BEAU;PLUIE;;;BEAU|PLUIE
2023-07-17;mitigé/beau;0.0;27.0;;;mitigé/beau;mitigé;beau;;;INSTABLE;BEAU;;;BEAU|INSTABLE
2023-07-18;beau;0.0;27.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-19;beau;0.0;33.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-20;orage/couvert;2.0;24.0;;;orage/couvert;orage;couvert;;;ORAGE;COUVERT;;;COUVERT|ORAGE
2023-07-21;beau;0.0;27.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-22;couvert/bruine;0.0;19.0;;;couvert/bruine;couvert;bruine;;;COUVERT;PLUIE;;;COUVERT|PLUIE
2023-07-23;soleil et qq nuages;0.0;29.0;;;soleil/qq nuages;soleil;qq nuages;;;BEAU;PASSAGES NUAGEUX;;;BEAU|PASSAGES NUAGEUX
2023-07-24;beau;0.0;30.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-25;couvert/pluie;3.0;21.0;;;couvert/pluie;couvert;pluie;;;COUVERT;PLUIE;;;COUVERT|PLUIE
2023-07-26;pluie/couvert/vent;3.0;15.0;;;pluie/couvert/vent;pluie;couvert;vent;;PLUIE;COUVERT;VENT;;COUVERT|PLUIE|VENT
2023-07-27;beau;0.0;28.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-28;beau/orages;16.0;30.0;;;beau/orages;beau;orages;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-07-29;beau;0.0;29.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-07-30;beau/orage;0.0;31.0;;;beau/orage;beau;orage;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-07-31;pluie/couvert;12.0;22.0;;;pluie/couvert;pluie;couvert;;;PLUIE;COUVERT;;;COUVERT|PLUIE
2023-08-01;beau;0.0;27.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-08-02;couvert/vent;0.0;24.0;;;couvert/vent;couvert;vent;;;COUVERT;VENT;;;COUVERT|VENT
2023-08-03;beau/couvert/pluie;3.0;28.0;;;beau/couvert/pluie;beau;couvert;pluie;;BEAU;COUVERT;PLUIE;;BEAU|COUVERT|PLUIE
2023-08-04;bruine/éclaircies;0.0;17.0;;;bruine/éclaircies;bruine;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-08-05;giboulées;13.0;18.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-08-06;éclaircies;0.0;22.0;;;éclaircies;éclaircies;;;;ECLAIRCIES;;;;ECLAIRCIES
2023-08-07;bruine/éclaircies/vent;1.0;23.0;;;bruine/éclaircies/vent;bruine;éclaircies;vent;;PLUIE;ECLAIRCIES;VENT;;ECLAIRCIES|PLUIE|VENT
2023-08-08;beau;0.0;23.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-08-09;beau;0.0;28.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-08-10;beau;0.0;30.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-08-11;beau;0.0;30.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-08-12;brumeux/beau;0.0;33.0;;;brumeux/beau;brumeux;beau;;;COUVERT;BEAU;;;BEAU|COUVERT
2023-08-13;beau;0.0;32.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-08-14;voilé;0.0;30.0;;;voilé;voilé;;;;COUVERT;;;;COUVERT
2023-08-15;beau/vent;0.0;32.0;;;beau/vent;beau;vent;;;BEAU;VENT;;;BEAU|VENT
2023-08-16;pluie fine/couvert;0.5;26.0;;;pluie fine/couvert;pluie fine;couvert;;;PLUIE;COUVERT;;;COUVERT|PLUIE
2023-08-17;couvert;0.0;25.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-08-18;bruine le matin;0.0;32.0;;;bruine/mitigé;bruine;mitigé;;;PLUIE;INSTABLE;;;INSTABLE|PLUIE
2023-08-19;voilé/vent;0.0;32.0;;;voilé/vent;voilé;vent;;;COUVERT;VENT;;;COUVERT|VENT
2023-08-20;vigilance canicule;0.0;34.0;;;vigilance canicule;vigilance canicule;;;;CANICULE;;;;CANICULE
2023-08-21;canicule;0.0;37.0;;;canicule;canicule;;;;CANICULE;;;;CANICULE
2023-08-22;canicule;0.0;34.0;;;canicule;canicule;;;;CANICULE;;;;CANICULE
2023-08-23;canicule;0.0;36.0;;;canicule;canicule;;;;CANICULE;;;;CANICULE
2023-08-24;canicule;0.0;40.0;;;canicule;canicule;;;;CANICULE;;;;CANICULE
2023-08-25;canicule;0.0;40.5;;;canicule;canicule;;;;CANICULE;;;;CANICULE
