Date;Commentaires;œuf trouvé/date de la trouvaille
2025-06-24;cunégonde semble s’apprêter à couver;
2025-06-25;vent/alerte jaune orages/tempête vers 18h pdt 3/4h environ;
2025-06-26;;
2025-06-27;œuf d’Albertine et Tina cassé;
2025-06-28;exzolt/vitC;
2025-06-29;alerte orange canicule;
2025-06-30;alerte orange canicule;
2025-07-01;alerte orange canicule/35°C à 17h/oeuf de Tina tordu et rugueux;
2025-07-02;alerte jaune orage et canicule/vent;
2025-07-03;;
2025-07-04;;
2025-07-05;;
2025-07-06;vent/Nina boite;
2025-07-07;vent;
2025-07-08;vent;
2025-07-09;27°C à 15h40;
2025-07-10;;
2025-07-11;;
2025-07-12;vent;
2025-07-13;2 œufs de marans mou dans le poulailler du coq (Albertine et/ou Nina)/départ de Dark Vador;xx
2025-07-14;;
2025-07-15;;
2025-07-16;"rdv véto pour Nina ; traitement anti inflamatoire +antibiotique 5j, mise ce soir avec les poussins";
2025-07-17;;
2025-07-18;;
2025-07-19;;
2025-07-20;vent/alerte jaune orages;
2025-07-21;vent;
2025-07-22;;
2025-07-23;alerte jaune orage;
2025-07-24;;
2025-07-25;;
2025-07-26;vent;
2025-07-27; vent;
2025-07-28;vent;
2025-07-29;vent;
2025-07-30;vent;
2025-07-31;;
2025-08-01;Nina décédée;
2025-08-02;;
2025-08-03;vent;
2025-08-04;;
2025-08-05;vent;
2025-08-06;vent;
2025-08-07;alerte jaune canicule/33°C à 18h;
2025-08-08;vent/Alerte jaune canicule/33°C à 17h;
2025-08-09;vigilance orange canicule/33°C à 19h;
2025-08-10;vigilance orange canicule/34°C à 18h30;
2025-08-11;alerte orange canicule/37°C à 18h;
2025-08-12;alerte orange canicule/37°C à 17h/ Albertine fatiguée;
2025-08-13;alerte orange canicule/alerte jaune orage/36°c à 17h/ tempête vers 17h/23°C à 18h30;
2025-08-14;alerte orange canicule/31°C à 17h;
2025-08-15;alerte orange canicule/34°C à 17h30;
2025-08-16;tina veut pondre/fumée d’Espagne/35°C à 18h;
2025-08-17;Albertine mue/fumée d’Espagne/32°C à 17h;x(marans)
2025-08-18;alerte jaune orage/26°C à 17h30;
2025-08-19;alerte jaune orage;
2025-08-20;;
2025-08-21;vent;
2025-08-22;;
2025-08-23;;
2025-08-24;;
2025-08-25;;
2025-08-26;;
2025-08-27;alerte orange orage;
2025-08-28;alerte jaune orage/vent;
2025-08-29;vent en fin de journée;
2025-08-30;;
2025-08-31;vent/alerte jaune orages;
2025-09-01;;
2025-09-02;;
2025-09-03;vent;
2025-09-04;vent;x(marans)
2025-09-05;;
2025-09-06;vent;
2025-09-07;vent/alerte jaune orages;
2025-09-08;alerte jaune orage;
2025-09-09;;
2025-09-10;;
2025-09-11;;
2025-09-12;;
2025-09-13;;
2025-09-14;vent;
2025-09-15;;
2025-09-16;;
2025-09-17;;
2025-09-18;vent;
2025-09-19;vent;
2025-09-20;vent/alerte jaune orages;
2025-09-21;vent/alerte jaune orages;
2025-09-22;vent;
2025-09-23;;
2025-09-24;vent;
2025-09-25;;
2025-09-26;;
2025-09-27;;
2025-09-28;;
2025-09-29;vent;
2025-09-30;vent;
2025-10-01;vent;
2025-10-02;;
2025-10-03;;
2025-10-04;vent/tempête en fin de journée;
2025-10-05;vent;
2025-10-06;;
2025-10-07;;
2025-10-08;vent ;
2025-10-09;vent;
2025-10-10;;
2025-10-11;;
2025-10-12;;
2025-10-13;;
2025-10-14;;
2025-10-15;;
2025-10-16;;
2025-10-17;;
2025-10-18;;
2025-10-19;;
2025-10-20;;
2025-10-21;vent;
2025-10-22;;
2025-10-23;vent violent/alerte jaune vent;
2025-10-24;;
2025-10-25;;
2025-10-26;vent;
2025-10-27;vent;
2025-10-28;;
2025-10-29;;
2025-10-30;;
2025-10-31;;
2025-11-01;;
2025-11-02;;
2025-11-03;vent;
2025-11-04;vent;
2025-11-05;vent ;
2025-11-06;vigilance jaune pluie inondation orage;
2025-11-07;;
2025-11-08;vigilance jaune pluie inondation ;
2025-11-09;;
2025-11-10;;
2025-11-11;vent;
2025-11-12;vent;
2025-11-13;vigilance jaune vent violent;
2025-11-14;vigilance jaune vent violent;
2025-11-15;vent;
2025-11-16;;
2025-11-17;vent en fin de journée;
2025-11-18;vent;
2025-11-19;petite gelée matinale/vent/alerte jaune neige-verglas;
2025-11-20;;
2025-11-21;vent;
2025-11-22;petite gelée matinale;
2025-11-23;;
2025-11-24;vent en fin de journée;
2025-11-25;arcus vers 17h;
2025-11-26;;
2025-11-27; belle gelée matinale ;
2025-11-28;belle gelée matinale;
2025-11-29;gelée matinale/;
2025-11-30;;
2025-12-01;;
2025-12-02;;
2025-12-03;Petit vent;
2025-12-04;;
2025-12-05;Petit vent;
2025-12-06;;
2025-12-07;;
2025-12-08;;
2025-12-09;vent;
2025-12-10;;
2025-12-11;;
2025-12-12;;
2025-12-13;;
2025-12-14;gelée matinale/;
2025-12-15;;
2025-12-16;;
2025-12-17;;
2025-12-18;vent;
2025-12-19;;
2025-12-20;;
