Date;Poule_brute;Ponte_brute;niveau_observation;group_id
2023-03-24;Saquiel;x(cassé);individuel;
2023-03-24;Joséphine;x;individuel;
2023-03-24;Rémiel;;individuel;
2023-03-25;Cunégonde;x;individuel;
2023-03-25;MARANS;x;groupe;MARANS
2023-03-25;Joséphine;x;individuel;
2023-03-25;Saquiel;;individuel;
2023-03-25;Augustine;;individuel;
2023-03-25;Pioupioute;;individuel;
2023-03-25;Valérie;;individuel;
2023-03-25;Rémiel;;individuel;
2023-03-26;Augustine;x;individuel;
2023-03-26;Rémiel;x;individuel;
2023-03-26;Joséphine;;individuel;
2023-03-26;MARANS;x;groupe;MARANS
2023-03-26;Pioupioute;x(cassé);individuel;
2023-03-26;Saquiel;x(cassé);individuel;
2023-03-26;Cunégonde;;individuel;
2023-03-26;Valérie;x;individuel;
2023-03-27;Rémiel;;individuel;
2023-03-27;Valérie;;individuel;
2023-03-27;Saquiel;;individuel;
2023-03-27;Joséphine;x;individuel;
2023-03-27;Pioupioute;;individuel;
2023-03-27;Augustine;;individuel;
2023-03-27;MARANS;;groupe;MARANS
2023-03-27;Cunégonde;x;individuel;
2023-03-28;Cunégonde;x;individuel;
2023-03-28;Joséphine;x;individuel;
2023-03-28;Valérie;x;individuel;
2023-03-28;Pioupioute;x(cassé);individuel;
2023-03-28;Rémiel;x;individuel;
2023-03-28;Augustine;x;individuel;
2023-03-28;Saquiel;;individuel;
