Date;Ponte_brute;niveau_observation;group_id;Ponte;Etat_oeuf;Doute;Effectif;Remarques;Poule_brute
2023-02-22;;individuel;;0;RAS;False;1;;Rémiel
2023-02-22;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-22;;individuel;;0;RAS;False;1;;Valérie
2023-02-22;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-22;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-22;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-22;;individuel;;0;RAS;False;1;;Augustine
2023-02-23;;individuel;;0;RAS;False;1;;Valérie
2023-02-23;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-23;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-23;;individuel;;0;RAS;False;1;;Rémiel
2023-02-23;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-23;;individuel;;0;RAS;False;1;;Augustine
2023-02-23;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-23;;individuel;;0;RAS;False;1;;Saquiel
2023-02-24;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-24;fin antibio;individuel;;0;RAS;False;1;fin antibio;Pioupioute
2023-02-24;;individuel;;0;RAS;False;1;;Rémiel
2023-02-24;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-24;;individuel;;0;RAS;False;1;;Saquiel
2023-02-24;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-24;;individuel;;0;RAS;False;1;;Valérie
2023-02-24;;individuel;;0;RAS;False;1;;Augustine
2023-02-25;;individuel;;0;RAS;False;1;;Saquiel
2023-02-25;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-25;;individuel;;0;RAS;False;1;;Valérie
