Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
27/08/2023,19,17,8,pluie,,Joséphine,,no egg,RAS,0
28/08/2023,16,14,37,pluie/éclaircies,,Joséphine,x,RAS,RAS,1
29/08/2023,17,16,5,pluie/éclaircies,,Joséphine,x,RAS,RAS,1
30/08/2023,20,15,0,éclaircies/vent,,Joséphine,x,RAS,RAS,1
31/08/2023,22,16,1,éclaircies/averses,,Joséphine,,no egg,RAS,0
01/09/2023,28,17,0,beau,,Joséphine,,no egg,RAS,0
02/09/2023,31,20,0,beau,,Joséphine,x,RAS,RAS,1
03/09/2023,22,18,0,couvert,trouvé un oeuf minuscule Saquiel ou Albertine,Joséphine,x,RAS,RAS,1
04/09/2023,26,21,0,beau/voilé,,Joséphine,,no egg,RAS,0
05/09/2023,28,22,0,voilé/vent,sable du Sahara dans l'air,Joséphine,x,RAS,RAS,1
06/09/2023,29,21,0,voilé,sable du Sahara dans l'air,Joséphine,x,RAS,RAS,1
07/09/2023,27,23,0,voilé,sable du Sahara dans l'air,Joséphine,,no egg,RAS,0
08/09/2023,30,20,0,beau,,Joséphine,x,RAS,RAS,1
09/09/2023,29,21,0,beau,,Joséphine,x,RAS,RAS,1
10/09/2023,30,22,0,beau,,Joséphine,,no egg,RAS,0
11/09/2023,30,20,0,beau,,Joséphine,x,RAS,RAS,1
12/09/2023,30,20,0,couvert/éclaircies,,Joséphine,x,RAS,RAS,1
13/09/2023,24,17,22,mitigé/orages,,Joséphine,,no egg,RAS,0
14/09/2023,25,17,0,éclaircies,,Joséphine,x,RAS,RAS,1
15/09/2023,28,18,0,beau,,Joséphine,,no egg,RAS,0
16/09/2023,28,17,3,beau/orageux/pluie,,Joséphine,x,RAS,RAS,1
17/09/2023,28,21,0,beau,,Joséphine,,no egg,RAS,0
18/09/2023,25,19,3,beau/orages,,Joséphine,,no egg,RAS,0
19/09/2023,26,17,6,beau/orages,,Joséphine,x,RAS,RAS,1
20/09/2023,25,15,0,beau,,Joséphine,x,RAS,RAS,1
21/09/2023,27,18,0,couvert/beau,,Joséphine,x,RAS,RAS,1
22/09/2023,20,14,9,couvert/pluie,,Joséphine,x,RAS,RAS,1
23/09/2023,20,12,0,éclaircies/vent,,Joséphine,x,RAS,RAS,1
24/09/2023,23,13,0,éclaircies,,Joséphine,x,RAS,RAS,1
25/09/2023,24,15,0,beau,,Joséphine,x,RAS,RAS,1
26/09/2023,27,15,0,beau,,Joséphine,,no egg,RAS,0
27/09/2023,28,16,0,beau,,Joséphine,x,RAS,RAS,1
28/09/2023,30,19,0,beau,,Joséphine,,no egg,RAS,0
29/09/2023,31,20,0,beau,,Joséphine,x,RAS,RAS,1
30/09/2023,30,20,0,beau,,Joséphine,x(cassé),cassé,RAS,1
01/10/2023,30,19,0,beau,,Joséphine,,no egg,RAS,0
02/10/2023,32,20,0,beau,,Joséphine,,no egg,RAS,0
03/10/2023,31,20,0,beau/vent,,Joséphine,x,RAS,RAS,1
04/10/2023,22,19,0,couvert,,Joséphine,,no egg,RAS,0
05/10/2023,28,16,0,nuageux,,Joséphine,,no egg,RAS,0
06/10/2023,28,16,0,beau,,Joséphine,x,RAS,RAS,1
07/10/2023,28,17,0,beau,,Joséphine,,no egg,RAS,0
08/10/2023,30,15,0,beau,,Joséphine,x,RAS,RAS,1
09/10/2023,29,17,0,beau,,Joséphine,x,RAS,RAS,1
10/10/2023,29,16,0,beau,,Joséphine,x,RAS,RAS,1
11/10/2023,30,18,0,beau,,Joséphine,,no egg,RAS,0
